Entity,Code,Year,Renewables
Algeria,DZA,1999,-0.03333336
Algeria,DZA,2000,-0.41388887
Algeria,DZA,2001,0.04060775
Algeria,DZA,2002,-0.034443364
Algeria,DZA,2003,0.5659064
Algeria,DZA,2004,-0.041853964
Algeria,DZA,2005,0.81252515
Algeria,DZA,2006,-0.9109238
Algeria,DZA,2007,0.019245684
Algeria,DZA,2008,0.14563799
Algeria,DZA,2009,0.15093595
Algeria,DZA,2010,-0.42341906
Algeria,DZA,2011,0.55199564
Algeria,DZA,2012,0.045236714
Algeria,DZA,2013,-0.74510837
Algeria,DZA,2014,0.31996772
Algeria,DZA,2015,-0.08428515
Algeria,DZA,2016,0.28232658
Algeria,DZA,2017,0.6031481
Algeria,DZA,2018,0.36842027
Algeria,DZA,2019,0.10734704
Algeria,DZA,2020,-0.09042785
Algeria,DZA,2021,-0.14860298
Algeria,DZA,2022,-0.0110177975
Algeria,DZA,2023,0.104830176
Algeria,DZA,2024,0.058775082
Argentina,ARG,1966,0.04392767
Argentina,ARG,1967,0.08268762
Argentina,ARG,1968,0.630491
Argentina,ARG,1969,-0.428941
Argentina,ARG,1970,0.76984316
Argentina,ARG,1971,-0.021906793
Argentina,ARG,1972,-0.0675991
Argentina,ARG,1973,4.101997
Argentina,ARG,1974,5.551098
Argentina,ARG,1975,0.5652009
Argentina,ARG,1976,-0.50910705
Argentina,ARG,1977,2.0980513
Argentina,ARG,1978,5.4994555
Argentina,ARG,1979,8.181062
Argentina,ARG,1980,12.468069
Argentina,ARG,1981,-1.3044018
Argentina,ARG,1982,8.163471
Argentina,ARG,1983,2.4203255
Argentina,ARG,1984,3.9288082
Argentina,ARG,1985,2.169173
Argentina,ARG,1986,1.060015
Argentina,ARG,1987,2.39449
Argentina,ARG,1988,-18.428547
Argentina,ARG,1989,-5.8078628
Argentina,ARG,1990,12.656055
Argentina,ARG,1991,-5.1282983
Argentina,ARG,1992,9.151912
Argentina,ARG,1993,12.680488
Argentina,ARG,1994,9.782651
Argentina,ARG,1995,-2.112451
Argentina,ARG,1996,-10.848255
Argentina,ARG,1997,15.022665
Argentina,ARG,1998,-3.887625
Argentina,ARG,1999,-13.929077
Argentina,ARG,2000,20.327688
Argentina,ARG,2001,21.6424
Argentina,ARG,2002,-2.439427
Argentina,ARG,2003,-4.8175154
Argentina,ARG,2004,-9.602675
Argentina,ARG,2005,9.574497
Argentina,ARG,2006,10.065177
Argentina,ARG,2007,-18.55828
Argentina,ARG,2008,-0.3419756
Argentina,ARG,2009,8.472822
Argentina,ARG,2010,2.495005
Argentina,ARG,2011,-3.2849972
Argentina,ARG,2012,-2.8053427
Argentina,ARG,2013,10.607937
Argentina,ARG,2014,0.9409105
Argentina,ARG,2015,0.55813
Argentina,ARG,2016,-7.303059
Argentina,ARG,2017,7.6691647
Argentina,ARG,2018,2.5500298
Argentina,ARG,2019,-1.0937684
Argentina,ARG,2020,-3.4889271
Argentina,ARG,2021,1.6286418
Argentina,ARG,2022,16.318321
Argentina,ARG,2023,20.943703
Argentina,ARG,2024,3.9238896
Asia,,1966,17.123438
Asia,,1967,-27.048573
Asia,,1968,43.159252
Asia,,1969,16.39394
Asia,,1970,11.2684965
Asia,,1971,42.852573
Asia,,1972,17.166454
Asia,,1973,-36.271347
Asia,,1974,66.9503
Asia,,1975,42.549362
Asia,,1976,16.62441
Asia,,1977,-10.009514
Asia,,1978,32.376606
Asia,,1979,53.79683
Asia,,1980,52.8173
Asia,,1981,54.13709
Asia,,1982,19.6058
Asia,,1983,42.000298
Asia,,1984,6.6665916
Asia,,1985,152.2733
Asia,,1986,9.956985
Asia,,1987,35.67482
Asia,,1988,153.18831
Asia,,1989,31.736893
Asia,,1990,50.57093
Asia,,1991,15.073804
Asia,,1992,10.168896
Asia,,1993,139.70187
Asia,,1994,0.9334846
Asia,,1995,126.16549
Asia,,1996,-8.948571
Asia,,1997,6.749315
Asia,,1998,95.65107
Asia,,1999,-28.59528
Asia,,2000,59.558907
Asia,,2001,121.37635
Asia,,2002,53.497276
Asia,,2003,70.85943
Asia,,2004,327.66092
Asia,,2005,85.77608
Asia,,2006,238.70218
Asia,,2007,143.88278
Asia,,2008,376.32343
Asia,,2009,-14.131348
Asia,,2010,492.10257
Asia,,2011,141.22125
Asia,,2012,524.206
Asia,,2013,442.93698
Asia,,2014,534.5559
Asia,,2015,330.84418
Asia,,2016,471.75433
Asia,,2017,541.0873
Asia,,2018,646.0059
Asia,,2019,718.4505
Asia,,2020,566.1385
Asia,,2021,852.81665
Asia,,2022,915.98926
Asia,,2023,631.39514
Asia,,2024,1559.1465
Asia Pacific (EI),,1966,17.280994
Asia Pacific (EI),,1967,-26.920734
Asia Pacific (EI),,1968,43.206947
Asia Pacific (EI),,1969,16.526562
Asia Pacific (EI),,1970,18.711098
Asia Pacific (EI),,1971,52.006157
Asia Pacific (EI),,1972,15.816051
Asia Pacific (EI),,1973,-30.691124
Asia Pacific (EI),,1974,69.43378
Asia Pacific (EI),,1975,40.881832
Asia Pacific (EI),,1976,2.0374012
Asia Pacific (EI),,1977,-17.153479
Asia Pacific (EI),,1978,28.722195
Asia Pacific (EI),,1979,57.86206
Asia Pacific (EI),,1980,50.301163
Asia Pacific (EI),,1981,51.16198
Asia Pacific (EI),,1982,8.131739
Asia Pacific (EI),,1983,52.929424
Asia Pacific (EI),,1984,5.413742
Asia Pacific (EI),,1985,60.62586
Asia Pacific (EI),,1986,25.36338
Asia Pacific (EI),,1987,-2.5270233
Asia Pacific (EI),,1988,102.59218
Asia Pacific (EI),,1989,80.107216
Asia Pacific (EI),,1990,19.062325
Asia Pacific (EI),,1991,33.02983
Asia Pacific (EI),,1992,-24.174429
Asia Pacific (EI),,1993,107.79728
Asia Pacific (EI),,1994,19.640219
Asia Pacific (EI),,1995,127.163216
Asia Pacific (EI),,1996,-26.516047
Asia Pacific (EI),,1997,19.5873
Asia Pacific (EI),,1998,93.59701
Asia Pacific (EI),,1999,-4.522609
Asia Pacific (EI),,2000,73.35577
Asia Pacific (EI),,2001,131.97424
Asia Pacific (EI),,2002,19.288237
Asia Pacific (EI),,2003,47.8982
Asia Pacific (EI),,2004,299.89127
Asia Pacific (EI),,2005,96.34506
Asia Pacific (EI),,2006,224.1048
Asia Pacific (EI),,2007,165.93811
Asia Pacific (EI),,2008,432.92188
Asia Pacific (EI),,2009,-11.69082
Asia Pacific (EI),,2010,427.91855
Asia Pacific (EI),,2011,160.21661
Asia Pacific (EI),,2012,492.10364
Asia Pacific (EI),,2013,442.60678
Asia Pacific (EI),,2014,587.71484
Asia Pacific (EI),,2015,269.5987
Asia Pacific (EI),,2016,451.0508
Asia Pacific (EI),,2017,525.968
Asia Pacific (EI),,2018,663.2956
Asia Pacific (EI),,2019,561.24286
Asia Pacific (EI),,2020,617.35803
Asia Pacific (EI),,2021,920.8569
Asia Pacific (EI),,2022,879.473
Asia Pacific (EI),,2023,582.0825
Asia Pacific (EI),,2024,1469.2394
Australia,AUS,1966,-0.99503666
Australia,AUS,1967,0.7430408
Australia,AUS,1968,0.9325367
Australia,AUS,1969,2.034711
Australia,AUS,1970,4.0668488
Australia,AUS,1971,3.719459
Australia,AUS,1972,0.18054539
Australia,AUS,1973,2.216044
Australia,AUS,1974,4.69571
Australia,AUS,1975,3.0038376
Australia,AUS,1976,-2.0543556
Australia,AUS,1977,-1.8660661
Australia,AUS,1978,3.0677767
Australia,AUS,1979,-1.1518569
Australia,AUS,1980,-2.2682862
Australia,AUS,1981,1.16978
Australia,AUS,1982,-2.6944718
Australia,AUS,1983,-2.0619774
Australia,AUS,1984,2.815422
Australia,AUS,1985,2.3095474
Australia,AUS,1986,0.24941182
Australia,AUS,1987,-1.113205
Australia,AUS,1988,2.8174255
Australia,AUS,1989,0.02249837
Australia,AUS,1990,1.2472742
Australia,AUS,1991,2.3734722
Australia,AUS,1992,0.663784
Australia,AUS,1993,1.2499993
Australia,AUS,1994,-0.5580203
Australia,AUS,1995,-1.0239573
Australia,AUS,1996,1.327986
Australia,AUS,1997,0.1287878
Australia,AUS,1998,-0.12375198
Australia,AUS,1999,1.5904516
Australia,AUS,2000,0.021246798
Australia,AUS,2001,-1.0473945
Australia,AUS,2002,1.7014945
Australia,AUS,2003,1.8717676
Australia,AUS,2004,2.1131628
Australia,AUS,2005,3.9625916
Australia,AUS,2006,1.4264678
Australia,AUS,2007,-2.1323318
Australia,AUS,2008,-3.4212453
Australia,AUS,2009,2.575709
Australia,AUS,2010,5.4588785
Australia,AUS,2011,22.244717
Australia,AUS,2012,-1.079807
Australia,AUS,2013,12.978002
Australia,AUS,2014,-7.255575
Australia,AUS,2015,6.6399965
Australia,AUS,2016,13.528716
Australia,AUS,2017,-6.8639297
Australia,AUS,2018,25.28343
Australia,AUS,2019,13.539662
Australia,AUS,2020,21.619719
Australia,AUS,2021,31.621265
Australia,AUS,2022,24.513811
Australia,AUS,2023,16.973097
Australia,AUS,2024,8.945876
Austria,AUT,1966,3.4666634
Austria,AUT,1967,1.0194473
Austria,AUT,1968,1.3527756
Austria,AUT,1969,-4.074997
Austria,AUT,1970,12.699162
Austria,AUT,1971,-12.41555
Austria,AUT,1972,1.2986069
Austria,AUT,1973,5.33778
Austria,AUT,1974,9.7305565
Austria,AUT,1975,3.008335
Austria,AUT,1976,-8.971115
Austria,AUT,1977,12.097778
Austria,AUT,1978,0.05555725
Austria,AUT,1979,8.766663
Austria,AUT,1980,2.8141708
Austria,AUT,1981,4.826111
Austria,AUT,1982,0.1361084
Austria,AUT,1983,-0.80555725
Austria,AUT,1984,-10.435379
Austria,AUT,1985,13.852293
Austria,AUT,1986,1.4332705
Austria,AUT,1987,11.262969
Austria,AUT,1988,0.2080121
Austria,AUT,1989,-0.43605876
Austria,AUT,1990,-9.807334
Austria,AUT,1991,0.078231096
Austria,AUT,1992,9.781248
Austria,AUT,1993,5.261372
Austria,AUT,1994,-3.242857
Austria,AUT,1995,5.8006096
Austria,AUT,1996,-8.745446
Austria,AUT,1997,5.673211
Austria,AUT,1998,3.4190729
Austria,AUT,1999,9.06997
Austria,AUT,2000,2.9897738
Austria,AUT,2001,-3.7241127
Austria,AUT,2002,-1.913171
Austria,AUT,2003,-18.651203
Austria,AUT,2004,11.724321
Austria,AUT,2005,3.0844736
Austria,AUT,2006,1.4468654
Austria,AUT,2007,7.074749
Austria,AUT,2008,3.2187996
Austria,AUT,2009,7.4899306
Austria,AUT,2010,-6.168953
Austria,AUT,2011,-11.203701
Austria,AUT,2012,26.645372
Austria,AUT,2013,-3.1406522
Austria,AUT,2014,-1.5232466
Austria,AUT,2015,-6.921845
Austria,AUT,2016,8.070618
Austria,AUT,2017,-0.58440924
Austria,AUT,2018,-3.2382283
Austria,AUT,2019,10.597849
Austria,AUT,2020,1.048789
Austria,AUT,2021,-6.4459
Austria,AUT,2022,-6.436866
Austria,AUT,2023,22.420183
Austria,AUT,2024,20.448551
Azerbaijan,AZE,1986,-1.4117525
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,-0.2946267
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,2.66593
Azerbaijan,AZE,1991,0.28138876
Azerbaijan,AZE,1992,-0.0333333
Azerbaijan,AZE,1993,1.8852777
Azerbaijan,AZE,1994,-1.6555557
Azerbaijan,AZE,1995,-0.7611108
Azerbaijan,AZE,1996,-0.052778244
Azerbaijan,AZE,1997,0.48611164
Azerbaijan,AZE,1998,0.66388845
Azerbaijan,AZE,1999,-1.2361107
Azerbaijan,AZE,2000,0.07777786
Azerbaijan,AZE,2001,-0.6671884
Azerbaijan,AZE,2002,1.9403236
Azerbaijan,AZE,2003,1.1959987
Azerbaijan,AZE,2004,0.7358799
Azerbaijan,AZE,2005,0.6236596
Azerbaijan,AZE,2006,-1.3571649
Azerbaijan,AZE,2007,-0.44538546
Azerbaijan,AZE,2008,-0.39805222
Azerbaijan,AZE,2009,0.17512183
Azerbaijan,AZE,2010,2.9117382
Azerbaijan,AZE,2011,-2.0439174
Azerbaijan,AZE,2012,-2.2388258
Azerbaijan,AZE,2013,-0.671392
Azerbaijan,AZE,2014,-0.42967564
Azerbaijan,AZE,2015,0.86069226
Azerbaijan,AZE,2016,0.88857716
Azerbaijan,AZE,2017,-0.56115717
Azerbaijan,AZE,2018,0.17448692
Azerbaijan,AZE,2019,-0.40517244
Azerbaijan,AZE,2020,-1.2421465
Azerbaijan,AZE,2021,0.50150657
Azerbaijan,AZE,2022,0.7867018
Azerbaijan,AZE,2023,0.38564426
Azerbaijan,AZE,2024,3.9527953
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0.48611107
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0.4333333
Bangladesh,BGD,1974,-0.24444443
Bangladesh,BGD,1975,0.5361111
Bangladesh,BGD,1976,0.16111112
Bangladesh,BGD,1977,-0.1583333
Bangladesh,BGD,1978,0.1916666
Bangladesh,BGD,1979,0.22500002
Bangladesh,BGD,1980,-0.01111114
Bangladesh,BGD,1981,0.116666675
Bangladesh,BGD,1982,-0.2833333
Bangladesh,BGD,1983,0.38611102
Bangladesh,BGD,1984,0.6527778
Bangladesh,BGD,1985,-0.4388888
Bangladesh,BGD,1986,-0.8027779
Bangladesh,BGD,1987,0.18611121
Bangladesh,BGD,1988,0.4388889
Bangladesh,BGD,1989,0.6805556
Bangladesh,BGD,1990,-0.10000014
Bangladesh,BGD,1991,-0.12777781
Bangladesh,BGD,1992,-0.116666555
Bangladesh,BGD,1993,-0.5222223
Bangladesh,BGD,1994,0.66388893
Bangladesh,BGD,1995,-1.3194444
Bangladesh,BGD,1996,1.0194445
Bangladesh,BGD,1997,-0.0555557
Bangladesh,BGD,1998,0.4055556
Bangladesh,BGD,1999,-0.08888888
Bangladesh,BGD,2000,-0.10221183
Bangladesh,BGD,2001,0.6352057
Bangladesh,BGD,2002,-0.57777196
Bangladesh,BGD,2003,-0.037641503
Bangladesh,BGD,2004,-0.06997177
Bangladesh,BGD,2005,-0.026567657
Bangladesh,BGD,2006,0.027173918
Bangladesh,BGD,2007,0.032077875
Bangladesh,BGD,2008,0.5331152
Bangladesh,BGD,2009,-1.4686581
Bangladesh,BGD,2010,0.8347674
Bangladesh,BGD,2011,0.60843194
Bangladesh,BGD,2012,-0.20717636
Bangladesh,BGD,2013,-0.0040724296
Bangladesh,BGD,2014,-0.30598697
Bangladesh,BGD,2015,0.8684209
Bangladesh,BGD,2016,-0.19174525
Bangladesh,BGD,2017,0.5897836
Bangladesh,BGD,2018,-0.40546235
Bangladesh,BGD,2019,0.039461248
Bangladesh,BGD,2020,-0.0996044
Bangladesh,BGD,2021,0.31558007
Bangladesh,BGD,2022,0.24510667
Bangladesh,BGD,2023,0.45438164
Bangladesh,BGD,2024,1.7906543
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,-0.005555555
Belarus,BLR,1992,-0.002777774
Belarus,BLR,1993,0.0055555515
Belarus,BLR,1994,0
Belarus,BLR,1995,0.0027777776
Belarus,BLR,1996,-0.011111107
Belarus,BLR,1997,0.013888884
Belarus,BLR,1998,0.01944445
Belarus,BLR,1999,-0.025000006
Belarus,BLR,2000,0.02222222
Belarus,BLR,2001,0.007872932
Belarus,BLR,2002,-0.0034208745
Belarus,BLR,2003,-0.0031577721
Belarus,BLR,2004,0.015874019
Belarus,BLR,2005,0.007294063
Belarus,BLR,2006,0.0030443177
Belarus,BLR,2007,0.03698801
Belarus,BLR,2008,0.15139343
Belarus,BLR,2009,0.2537357
Belarus,BLR,2010,0.22822341
Belarus,BLR,2011,-0.03819012
Belarus,BLR,2012,0.10241549
Belarus,BLR,2013,0.060824174
Belarus,BLR,2014,-0.027366102
Belarus,BLR,2015,0.05186209
Belarus,BLR,2016,0.18244044
Belarus,BLR,2017,0.91197234
Belarus,BLR,2018,-0.18652053
Belarus,BLR,2019,0.40068173
Belarus,BLR,2020,0.47073087
Belarus,BLR,2021,0.75365496
Belarus,BLR,2022,0.02328059
Belarus,BLR,2023,-0.36820617
Belarus,BLR,2024,-0.07961786
Belgium,BEL,1966,0.07499993
Belgium,BEL,1967,-0.16944438
Belgium,BEL,1968,0.01666665
Belgium,BEL,1969,-0.03888887
Belgium,BEL,1970,0.04444444
Belgium,BEL,1971,-0.31111112
Belgium,BEL,1972,0.12777779
Belgium,BEL,1973,0.33749998
Belgium,BEL,1974,0.16666666
Belgium,BEL,1975,-0.23645833
Belgium,BEL,1976,-0.28680554
Belgium,BEL,1977,0.9131944
Belgium,BEL,1978,0.03784722
Belgium,BEL,1979,0.20243055
Belgium,BEL,1980,0.075347245
Belgium,BEL,1981,0.25798607
Belgium,BEL,1982,-0.8989583
Belgium,BEL,1983,-0.06666667
Belgium,BEL,1984,0.047916688
Belgium,BEL,1985,-0.08715278
Belgium,BEL,1986,0.36180556
Belgium,BEL,1987,0.32743055
Belgium,BEL,1988,-0.07013889
Belgium,BEL,1989,-0.11840274
Belgium,BEL,1990,0.17604166
Belgium,BEL,1991,-0.046875037
Belgium,BEL,1992,0.21388884
Belgium,BEL,1993,-0.31319436
Belgium,BEL,1994,0.25833324
Belgium,BEL,1995,0.21527791
Belgium,BEL,1996,-0.29965279
Belgium,BEL,1997,0.06145829
Belgium,BEL,1998,0.5041667
Belgium,BEL,1999,0.3003471
Belgium,BEL,2000,0.5638891
Belgium,BEL,2001,0.08884479
Belgium,BEL,2002,0.20952356
Belgium,BEL,2003,0.1953407
Belgium,BEL,2004,0.89630604
Belgium,BEL,2005,1.8686093
Belgium,BEL,2006,2.541128
Belgium,BEL,2007,1.5844084
Belgium,BEL,2008,2.7950926
Belgium,BEL,2009,4.500087
Belgium,BEL,2010,6.0165453
Belgium,BEL,2011,4.4894195
Belgium,BEL,2012,5.770113
Belgium,BEL,2013,2.7996488
Belgium,BEL,2014,1.5894343
Belgium,BEL,2015,4.41553
Belgium,BEL,2016,1.3222055
Belgium,BEL,2017,4.3544054
Belgium,BEL,2018,3.0610273
Belgium,BEL,2019,5.387228
Belgium,BEL,2020,11.920298
Belgium,BEL,2021,-1.4693043
Belgium,BEL,2022,4.4949217
Belgium,BEL,2023,6.409066
Belgium,BEL,2024,-5.123121
Brazil,BRA,1966,6.64167
Brazil,BRA,1967,3.5638885
Brazil,BRA,1968,3.7805557
Brazil,BRA,1969,5.9500046
Brazil,BRA,1970,24.960615
Brazil,BRA,1971,9.69467
Brazil,BRA,1972,21.857544
Brazil,BRA,1973,19.41052
Brazil,BRA,1974,21.507519
Brazil,BRA,1975,18.479235
Brazil,BRA,1976,29.24303
Brazil,BRA,1977,33.62231
Brazil,BRA,1978,31.539314
Brazil,BRA,1979,44.153717
Brazil,BRA,1980,37.89817
Brazil,BRA,1981,3.7311382
Brazil,BRA,1982,36.73795
Brazil,BRA,1983,42.08179
Brazil,BRA,1984,50.0815
Brazil,BRA,1985,43.352367
Brazil,BRA,1986,27.000057
Brazil,BRA,1987,10.861068
Brazil,BRA,1988,40.506912
Brazil,BRA,1989,21.749868
Brazil,BRA,1990,0.7697582
Brazil,BRA,1991,32.466194
Brazil,BRA,1992,16.88601
Brazil,BRA,1993,36.877422
Brazil,BRA,1994,28.261366
Brazil,BRA,1995,35.235294
Brazil,BRA,1996,39.376923
Brazil,BRA,1997,35.322437
Brazil,BRA,1998,34.565865
Brazil,BRA,1999,7.2041016
Brazil,BRA,2000,18.960794
Brazil,BRA,2001,-106.53662
Brazil,BRA,2002,53.687046
Brazil,BRA,2003,50.58039
Brazil,BRA,2004,46.657516
Brazil,BRA,2005,45.62044
Brazil,BRA,2006,26.32646
Brazil,BRA,2007,99.47077
Brazil,BRA,2008,27.11599
Brazil,BRA,2009,73.59436
Brazil,BRA,2010,62.836914
Brazil,BRA,2011,48.833714
Brazil,BRA,2012,-30.395658
Brazil,BRA,2013,-25.436258
Brazil,BRA,2014,0.32745457
Brazil,BRA,2015,25.197008
Brazil,BRA,2016,60.38382
Brazil,BRA,2017,3.1696243
Brazil,BRA,2018,99.03655
Brazil,BRA,2019,70.32907
Brazil,BRA,2020,-0.0694561
Brazil,BRA,2021,-44.17521
Brazil,BRA,2022,206.14233
Brazil,BRA,2023,101.76994
Brazil,BRA,2024,58.602867
Bulgaria,BGR,1966,0.027777672
Bulgaria,BGR,1967,0.03333378
Bulgaria,BGR,1968,-1.991667
Bulgaria,BGR,1969,1.4833333
Bulgaria,BGR,1970,0.8694444
Bulgaria,BGR,1971,0.05000019
Bulgaria,BGR,1972,-0.20833349
Bulgaria,BGR,1973,1.3194442
Bulgaria,BGR,1974,-1.3611112
Bulgaria,BGR,1975,1.0361118
Bulgaria,BGR,1976,1.3916659
Bulgaria,BGR,1977,1.5972223
Bulgaria,BGR,1978,-1.7222223
Bulgaria,BGR,1979,1.1166668
Bulgaria,BGR,1980,1.1166668
Bulgaria,BGR,1981,-0.2638893
Bulgaria,BGR,1982,-1.5777779
Bulgaria,BGR,1983,0.8416672
Bulgaria,BGR,1984,-0.2583332
Bulgaria,BGR,1985,-2.8416667
Bulgaria,BGR,1986,0.24722195
Bulgaria,BGR,1987,0.58611107
Bulgaria,BGR,1988,0.16388893
Bulgaria,BGR,1989,0.26388884
Bulgaria,BGR,1990,-2.9472218
Bulgaria,BGR,1991,1.7722216
Bulgaria,BGR,1992,-1.0138884
Bulgaria,BGR,1993,-0.32222223
Bulgaria,BGR,1994,-1.3638887
Bulgaria,BGR,1995,2.438889
Bulgaria,BGR,1996,1.9833326
Bulgaria,BGR,1997,-0.45555544
Bulgaria,BGR,1998,0.9555564
Bulgaria,BGR,1999,-0.9333334
Bulgaria,BGR,2000,-0.28055573
Bulgaria,BGR,2001,-2.7475595
Bulgaria,BGR,2002,1.236486
Bulgaria,BGR,2003,2.363503
Bulgaria,BGR,2004,0.34821096
Bulgaria,BGR,2005,3.055583
Bulgaria,BGR,2006,-0.24631907
Bulgaria,BGR,2007,-3.6674154
Bulgaria,BGR,2008,0.10859527
Bulgaria,BGR,2009,1.9631491
Bulgaria,BGR,2010,5.488115
Bulgaria,BGR,2011,-4.909776
Bulgaria,BGR,2012,4.2245646
Bulgaria,BGR,2013,4.487562
Bulgaria,BGR,2014,1.1673621
Bulgaria,BGR,2015,3.8190355
Bulgaria,BGR,2016,-4.2186384
Bulgaria,BGR,2017,-2.3116822
Bulgaria,BGR,2018,8.736813
Bulgaria,BGR,2019,-4.4467835
Bulgaria,BGR,2020,-0.23771465
Bulgaria,BGR,2021,7.55224
Bulgaria,BGR,2022,-1.7273774
Bulgaria,BGR,2023,0.49123168
Bulgaria,BGR,2024,3.292147
CIS (EI),,1966,28.858337
CIS (EI),,1967,-9.033325
CIS (EI),,1968,42.96945
CIS (EI),,1969,30.947205
CIS (EI),,1970,25.544434
CIS (EI),,1971,4.7833557
CIS (EI),,1972,-8.8888855
CIS (EI),,1973,-1.5389099
